filename,tone,confidence,reason,transcription,nli_suspense,nli_urgency,nli_dramatic_emphasis,nli_calm,duration,mean_energy,std_energy,mean_pitch,std_pitch,mean_zcr,tempo
260-123286-0000.wav,suspense,0.647,LLM skipped.,"Saturday, August 15th. The sea unbroken all round. No land in sight.",0.6472,0.3085,0.21,0.1954,6.08,0.04486,0.04396,174.98,32.2,0.11157,144.23
260-123286-0001.wav,suspense,0.782,LLM skipped.,The horizon seems extremely distant.,0.7824,0.071,0.4021,0.0043,2.05,0.05753,0.03786,181.83,31.17,0.18171,98.68
260-123286-0002.wav,suspense,0.882,LLM skipped.,"All my danger and sufferings were needed to strike a spark of human feeling out of him. But now that I am well, his nature has resumed its sway.",0.8822,0.2041,0.7272,0.0008,9.12,0.05702,0.03892,210.23,42.17,0.11419,117.19
260-123286-0003.wav,urgency,0.986,LLM skipped.,"You seem anxious, my uncle, I said, seeing him continually with his glass to his eye. Anxious.",0.95,0.9859,0.8462,0.0003,6.43,0.04066,0.0325,223.2,73.52,0.15901,156.25
260-123286-0004.wav,urgency,0.742,LLM skipped.,"One might be, with less reason than now.",0.4929,0.7422,0.2901,0.0057,2.53,0.06401,0.037,228.5,50.85,0.08419,133.93
260-123286-0005.wav,suspense,0.265,LLM skipped.,"I am not complaining that the rate is slow, but that the C is so wide.",0.2652,0.0006,0.0017,0.0039,3.84,0.05073,0.034,247.55,37.38,0.15519,125.0
260-123286-0006.wav,urgency,0.999,LLM skipped.,"We are losing time, and the fact is, I have not come all this way to take a little sail upon a pond on a raft.",0.9711,0.9985,0.6081,0.0004,6.53,0.06821,0.04126,240.75,50.52,0.11385,117.19
260-123286-0007.wav,urgency,0.991,LLM skipped.,He called this sea upon and our long voyage taking a little sail,0.6022,0.9909,0.8574,0.0062,3.74,0.05838,0.03127,194.43,33.05,0.12925,170.45
260-123286-0008.wav,suspense,0.249,LLM skipped.,"Therefore, don't talk to me about views and prospects.",0.2486,0.0665,0.1627,0.0085,3.04,0.06076,0.03949,213.33,49.72,0.13778,110.29
260-123286-0009.wav,urgency,0.963,LLM skipped.,I take this as my answer and I leave the professor to bite his lips with impatience.,0.3566,0.9633,0.1243,0.0006,5.02,0.04726,0.03107,189.41,34.68,0.15798,144.23
260-123286-0010.wav,suspense,0.844,LLM skipped.,"Sunday, August 16th.",0.8442,0.6587,0.454,0.1708,1.54,0.04932,0.03304,213.01,33.5,0.2211,144.23
260-123286-0011.wav,calm,0.838,LLM skipped.,"Nothing new, weather unchanged. The wind freshens.",0.0,0.0006,0.1005,0.8378,3.26,0.05595,0.04068,199.49,51.24,0.10251,133.93
260-123286-0012.wav,calm,0.954,LLM skipped.,But there seemed no reason of fear.,0.0,0.1252,0.1698,0.9544,1.57,0.083,0.03905,266.72,43.26,0.13157,133.93
260-123286-0013.wav,suspense,0.492,LLM skipped.,The shadow of the raft was clearly outlined upon the surface of the waves.,0.4916,0.1511,0.2177,0.0004,3.78,0.06256,0.03747,207.03,58.72,0.13787,125.0
260-123286-0014.wav,dramatic_emphasis,0.462,LLM skipped.,Truly the sea is of infinite width.,0.1345,0.1051,0.4616,0.0047,2.02,0.06394,0.03713,197.82,53.02,0.12918,170.45
260-123286-0015.wav,suspense,0.425,LLM skipped.,It must be as wide as the Mediterranean or the Atlantic. And why not?,0.425,0.4142,0.3009,0.0063,4.38,0.05917,0.04446,208.44,53.25,0.09022,110.29
260-123286-0016.wav,suspense,0.598,LLM skipped.,"These thoughts agitated me all day, and my imagination scarcely calmed down after several hours' sleep.",0.598,0.1523,0.1015,0.0,5.86,0.05732,0.03231,180.88,29.34,0.15006,117.19
260-123286-0017.wav,suspense,0.986,LLM skipped.,I shudder as I recall these monsters to my remembrance.,0.9864,0.3323,0.6108,0.0,3.1,0.05672,0.02874,166.35,21.06,0.16104,98.68
260-123286-0018.wav,suspense,0.546,LLM skipped.,"I saw at the Hamburg Museum the skeleton of one of these creatures, 30 feet in length.",0.5458,0.1476,0.2017,0.0009,4.64,0.05215,0.03211,193.15,45.44,0.14802,125.0
260-123286-0019.wav,suspense,0.895,LLM skipped.,"I suppose Professor Liedenbrock was of my opinion too, and even shared my fears. For after having examined the pig, his eyes traversed the ocean from side to side.",0.8949,0.1841,0.3466,0.0018,10.72,0.05545,0.04006,180.94,29.37,0.13376,125.0
260-123286-0020.wav,suspense,0.893,LLM skipped.,"Tuesday, August 18th.",0.8931,0.6818,0.4368,0.1608,1.79,0.03876,0.03265,189.75,28.4,0.1345,85.23
260-123286-0021.wav,suspense,0.206,LLM skipped.,"During his watch, I slept.",0.206,0.0225,0.0167,0.0992,1.54,0.05064,0.03307,169.79,10.33,0.17006,125.0
260-123286-0022.wav,suspense,0.924,LLM skipped.,"Two hours afterwards, a terrible shock awoke me.",0.9245,0.6726,0.5019,0.0001,2.46,0.0575,0.03448,210.37,46.27,0.1272,133.93
260-123286-0023.wav,suspense,0.603,LLM skipped.,The raft was heaved up on a watery mountain and pitched down again at a distance of 20 fathoms.,0.6027,0.3971,0.4905,0.0001,5.25,0.05591,0.0375,195.25,28.98,0.13794,170.45
260-123286-0024.wav,urgency,1.0,LLM skipped.,"There's a whale, a whale, cried the professor.",0.9487,1.0,1.0,0.0001,2.27,0.0884,0.05232,326.48,37.89,0.10134,133.93
260-123286-0025.wav,urgency,0.976,LLM skipped.,Flight was out of the question now. The reptiles rose. They wheeled around our little raft with a rapidity greater than that of express trains.,0.9166,0.9764,0.322,0.0001,8.03,0.059,0.04254,177.61,21.12,0.10413,98.68
260-123286-0026.wav,suspense,1.0,LLM skipped.,"Two monsters only were creating all this commotion, and before my eyes are two reptiles of the primitive world.",1.0,0.96,0.7641,0.0001,6.4,0.05305,0.034,191.32,28.86,0.11933,98.68
260-123286-0027.wav,suspense,0.99,LLM skipped.,"I can distinguish the eye of the ichthyosaurus, glowing like a red hot coal and as large as a man's head.",0.9903,0.4199,0.775,0.0,6.66,0.05514,0.03417,199.98,35.5,0.12174,104.17
260-123286-0028.wav,suspense,0.322,LLM skipped.,"Its jaw is enormous, and according to naturalists, it is armed with no less than 182 teeth.",0.3219,0.101,0.1165,0.0003,6.3,0.06302,0.04137,185.72,30.77,0.13835,133.93
260-123286-0029.wav,suspense,1.0,LLM skipped.,Those huge creatures attacked each other with a greatest animosity.,1.0,0.4656,0.4837,0.0001,3.78,0.05241,0.03528,191.7,34.43,0.15107,110.29
260-123286-0030.wav,suspense,1.0,LLM skipped.,"Suddenly, the ichthyosaurus and the plesiosaurus disappear below, leaving a whirlpool eddying in the water.",1.0,0.9554,0.7072,0.0,6.62,0.05388,0.03705,186.89,29.4,0.13131,104.17
260-123286-0031.wav,suspense,0.95,LLM skipped.,"As for the Ithiosaurus, has he returned to his submarine cabin?",0.95,0.4885,0.2896,0.0019,4.32,0.05202,0.03278,182.69,18.04,0.16019,144.23
4077-13754-0000.wav,suspense,0.348,LLM skipped.,The army found the people in poverty and left them in comparative wealth.,0.3484,0.2476,0.3188,0.0036,3.87,0.04835,0.03827,174.67,56.61,0.12566,125.0
4077-13754-0001.wav,suspense,0.332,LLM skipped.,but a word further concerning the expedition in general.,0.3322,0.2649,0.0977,0.0009,2.85,0.04695,0.03305,177.18,36.15,0.1469,117.19
4077-13754-0002_chunk_1.wav,urgency,0.659,LLM skipped.,"It was through Floyd's advice that Buchanan ordered the military expedition to Utah, ostensibly, to install certain federal officials and to repress an alleged infantile rebellion, which in fact had never come into existence, but in reality",0.5262,0.6595,0.2046,0.0027,14.58,0.04511,0.0311,170.13,31.15,0.17645,133.93
4077-13754-0002_chunk_2.wav,suspense,0.535,LLM skipped.,"had never come into existence, but in reality to further the interests of the secessionists.",0.5348,0.2313,0.164,0.0327,5.41,0.04373,0.02357,157.5,19.0,0.1992,98.68
4077-13754-0003.wav,suspense,0.355,LLM skipped.,"Moreover, had the people been inclined to rebellion, what greater opportunity could they have wished?",0.3551,0.1661,0.2053,0.0004,4.93,0.04447,0.03033,175.11,34.03,0.1166,104.17
4077-13754-0004.wav,suspense,0.52,LLM skipped.,Already a north and a south were talked of. Why not set up also a west?,0.5199,0.2281,0.3366,0.0172,4.22,0.045,0.03108,170.14,17.91,0.14397,170.45
4077-13754-0005_chunk_1.wav,suspense,0.849,LLM skipped.,"They knew no north, no south, no east, no west. They stood positively by the constitution, and would have nothing to do in the bloody strife between brothers, unless indeed they were summoned by the authority to which they had already once loyally responded.",0.8491,0.5952,0.4113,0.0212,14.27,0.03845,0.02395,159.24,34.88,0.1674,117.19
4077-13754-0005_chunk_2.wav,suspense,0.67,LLM skipped.,"they had already once loyally responded, to furnish men and arms for the country's need.",0.6702,0.6147,0.3034,0.0011,5.28,0.03279,0.01979,150.08,17.44,0.17234,110.29
4077-13754-0006.wav,suspense,0.084,LLM skipped.,"What the Latter-day Saints call celestial marriage is characteristic of the Church, and is in very general practice. But of celestial marriage, plurality of wives was an incident, never an essential.",0.0838,0.0442,0.0444,0.0109,11.84,0.04259,0.03013,173.87,32.91,0.17656,144.23
4077-13754-0007.wav,dramatic_emphasis,0.329,LLM skipped.,"We believe in a literal resurrection and an actual hereafter, in which future states shall be recognized every sanctified and authorized relationship existing here on earth, of parent and child, brother and sister, husband and wife.",0.1991,0.0183,0.3294,0.0145,13.31,0.04317,0.02601,172.09,35.2,0.16518,133.93
4077-13754-0008_chunk_1.wav,suspense,0.332,LLM skipped.,"It has been my privilege to tread the soil of many lands, to observe the customs, and study the habits of more nations than one. And I have yet to find the place and meet the people, where and with whom the purity of man and woman is held",0.3322,0.1362,0.2124,0.0169,14.52,0.03023,0.02126,162.04,32.11,0.14715,133.93
4077-13754-0008_chunk_2.wav,suspense,0.294,LLM skipped.,with whom the purity of man and woman is held more precious than among the maligned Mormons in the mountain valleys of the west.,0.2945,0.0352,0.2871,0.001,7.52,0.0274,0.01554,156.3,26.47,0.13822,98.68
4077-13754-0009.wav,suspense,0.3,LLM skipped.,"At the inception of plural marriage among the Latter-day Saints, there was no law, national or state, against its practice.",0.3,0.0818,0.1639,0.0097,6.78,0.04175,0.0238,173.59,34.54,0.17839,93.75
4077-13754-0010.wav,suspense,0.404,LLM skipped.,"In 1862, a law was enacted with the purpose of suppressing plural marriage, and, as had been predicted in the National Senate prior to its passage, it lay for many years a dead letter.",0.4035,0.2341,0.28,0.0114,11.17,0.03734,0.02295,174.82,41.42,0.16613,144.23
4077-13754-0011.wav,suspense,0.241,LLM skipped.,"federal judges and United States attorneys in Utah, who are not Mormons nor lovers of Mormonism, refuse to entertain complaints or prosecute cases under the law because of its manifest injustice and inadequacy.",0.2411,0.0842,0.1215,0.0084,13.25,0.0376,0.02381,171.36,30.94,0.17099,110.29
4077-13754-0012_chunk_1.wav,suspense,0.364,LLM skipped.,"This meant that for an alleged misdemeanor, for which Congress prescribed a maximum penalty of six months imprisonment and a fine of three hundred dollars, a man might be imprisoned for life, I for many terms of a man's natural life,",0.3644,0.234,0.1529,0.0049,14.49,0.03374,0.02266,167.55,26.22,0.16595,110.29
4077-13754-0012_chunk_2.wav,suspense,0.757,LLM skipped.,"life, I for many terms have amends natural life, did the court's power to enforce its sentences extend so far, and might be fined millions of dollars.",0.7575,0.483,0.3962,0.0058,9.76,0.03639,0.02286,171.79,34.55,0.17873,117.19
4077-13754-0013.wav,suspense,0.672,LLM skipped.,"Before this travesty on the administration of law could be brought before the court of last resort, and there met with the reversal and rebuke it deserved, men were imprisoned under sentence of many years' duration.",0.6722,0.3557,0.3439,0.0043,12.03,0.03453,0.02274,165.11,33.15,0.14596,156.25
4077-13754-0014.wav,suspense,0.565,LLM skipped.,"The people contested these measures one by one in the courts, presenting in case after case the different phases of the subject and urging the unconstitutionality of the measure.",0.5648,0.2087,0.2911,0.0076,10.18,0.03767,0.02264,167.11,29.84,0.16998,117.19
4077-13754-0015_chunk_1.wav,suspense,0.416,LLM skipped.,"Then the Church was disincorporated, and its property both real and personal confiscated and eschewed to the government of the United States. And although the personal property was soon restored, real estate of great value long lay",0.4162,0.2777,0.2505,0.0346,14.55,0.03516,0.02649,170.81,35.21,0.15277,110.29
4077-13754-0015_chunk_2.wav,suspense,0.49,LLM skipped.,"restored, real estate of great value long lay in the hands of the court's receiver, and the Mormon Church had to pay the national government high rental on its own property.",0.4901,0.3049,0.2955,0.0123,9.7,0.03262,0.02004,165.31,29.65,0.14107,133.93
4077-13754-0016.wav,suspense,0.452,LLM skipped.,"And so the story of Mormonism runs on. Its finale has not yet been written. The current press presents continuously new stages of its progress, new developments of its plan.",0.4515,0.3395,0.2842,0.016,11.04,0.03502,0.0246,168.89,29.21,0.15745,110.29
